trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.005, 'e': 1.4654645913102935}",20,0,-101.55457921372106,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
43,False,"{'a': 0.005, 'e': 1.4638461739959083}",20,0,-39.413211547791654,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.005, 'e': 1.462191160603415}",30,0,-209.75262469041027,"{0: 13, 1: 4, 2: 10, 3: 1, 4: 2}",0
45,False,"{'a': 0.005, 'e': 1.4604995925080624}",20,7,-31.485454946681728,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
46,False,"{'a': 0.005, 'e': 1.4587715119989646}",30,0,-228.21630338185548,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
47,False,"{'a': 0.005, 'e': 1.4570069622780446}",20,0,-177.20176620930036,"{0: 6, 1: 5, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.005, 'e': 1.4552059874589531}",25,6,-118.39182081553206,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 2}",1
49,False,"{'a': 0.005, 'e': 1.4533686325659672}",20,0,-150.73102765755053,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
50,False,"{'a': 0.005, 'e': 1.4514949435328632}",35,20,-72.22384093939934,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
51,False,"{'a': 0.005, 'e': 1.4495849672017698}",20,9,-42.13600328934567,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.005, 'e': 1.4476387513219953}",35,3,-123.449308585527,"{0: 17, 1: 8, 2: 4, 3: 3, 4: 0}",1
53,False,"{'a': 0.005, 'e': 1.4456563445488357}",30,0,-108.87797949987024,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.005, 'e': 1.443637796442357}",20,0,-125.08727703789604,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
55,False,"{'a': 0.005, 'e': 1.4415831574661564}",20,0,-128.7834611251733,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
56,False,"{'a': 0.005, 'e': 1.4394924789861017}",20,0,-105.05386928637772,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.005, 'e': 1.4373658132690457}",20,0,-133.84861313966883,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
58,False,"{'a': 0.005, 'e': 1.435203213481521}",20,0,-134.91547791045133,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.005, 'e': 1.433004733688409}",20,0,-146.15565383118505,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
60,False,"{'a': 0.005, 'e': 1.4307704288515906}",30,0,-178.23110171915872,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
61,False,"{'a': 0.005, 'e': 1.4285003548285702}",30,0,-294.82111691870887,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 6}",0
62,False,"{'a': 0.005, 'e': 1.4261945683710797}",20,0,-114.57814103059077,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
63,False,"{'a': 0.005, 'e': 1.4238531271236612}",20,0,-193.40753482335188,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
64,False,"{'a': 0.005, 'e': 1.4214760896222236}",20,0,-76.63379785172842,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.005, 'e': 1.4190635152925806}",20,0,-60.457090800139916,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.005, 'e': 1.4166154644489646}",20,2,-168.16203613881842,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 2}",1
67,False,"{'a': 0.005, 'e': 1.4141319982925193}",25,0,-130.71449223582735,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
68,False,"{'a': 0.005, 'e': 1.4116131789097697}",25,0,-179.4666802193853,"{0: 12, 1: 4, 2: 3, 3: 5, 4: 1}",0
69,False,"{'a': 0.005, 'e': 1.4090590692710683}",20,0,-102.27457558434112,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.005, 'e': 1.406469733229024}",25,0,-188.7352475920436,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
71,False,"{'a': 0.005, 'e': 1.4038452355169022}",30,0,-141.62378797189615,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
72,False,"{'a': 0.005, 'e': 1.4011856417470097}",20,0,-147.30832421540222,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
73,False,"{'a': 0.005, 'e': 1.3984910184090518}",30,9,-224.14854074396348,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 4}",1
74,False,"{'a': 0.005, 'e': 1.3957614328684715}",20,0,-72.609694460699,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.005, 'e': 1.3929969533647655}",20,0,-77.962302350989,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
76,False,"{'a': 0.005, 'e': 1.3901976490097772}",20,0,-70.23708384169366,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.005, 'e': 1.3873635897859695}",30,18,-38.349447998781066,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
